Кол-во элементов,Insertion Sort,Merge Sort,Quick Sort,Bubble Sort
1000,9.17433,0.184791,0.278542,8.88121,
1500,4.73879,0.178833,0.277458,13.0582,
2000,5.79483,0.16825,0.260583,17.9459,
2500,6.84204,0.174375,0.269958,24.6607,
3000,9.39042,0.20725,0.355125,36.6052,
3500,13.314,0.247083,0.378792,50.0994,
4000,17.6068,0.285458,0.452917,65.8495,
4500,21.7476,0.329333,0.473084,84.0245,
5000,27.1624,0.367208,0.571,104.11,
5500,33.1441,0.412459,0.62525,125.751,
6000,38.5005,0.445208,0.697917,150.568,
6500,46.2923,0.49775,0.716792,176.94,
7000,52.8499,0.519542,0.802125,208.324,
7500,60.7654,0.569625,0.91425,235.572,
8000,69.849,0.601292,0.934875,267.49,
8500,77.989,0.649417,1.03479,302.114,
9000,88.1593,0.7015,1.03071,338.594,
9500,98.5865,0.768459,1.13142,381.016,
10000,109.441,0.781667,1.16362,418.985,
